ADM2_NAME,ADM2_CODE,Month,Year,EVI_mean,LAI_mean,FPAR_mean,LST_Kelvin_mean,Soil_Moisture_mm_mean,FPAR_count
Rajbari,5791,2,2022,-38.33165552043416,-964.0742365801364,-964.6346916547894,298.2922163496274,11.399189231118813,5246
Shariatpur,5792,2,2022,-188.72054834650504,-1864.2271186538233,-1879.5550108152397,297.8300080439464,3.6859096355588714,5689
Sherpur,5793,2,2022,0.23839541495955155,-96.57550319054538,-98.73766074507351,296.91032872959573,10.89739360849704,6046
Tangail,5794,2,2022,0.25074306600423935,-298.92336337573244,-304.37110046759574,297.7981642614683,10.725027172046477,15268
Bagerhat,5795,2,2022,-48.33568944399977,-1970.9141719517015,-2150.0914690190916,254.16202506095303,8.010479011019667,17129
Chuadanga,5796,2,2022,0.3567987101121976,-19.64207263496046,-20.551773541058672,297.58718418562637,9.493585240465816,5178
Jessore,5797,2,2022,0.26661381554578867,-218.34631977443433,-230.477761490406,298.01298036689747,4.629283170123559,11625
Jhenaidah,5798,2,2022,0.2903301389565444,-47.79116140548268,-48.46121206996305,298.1006973738657,8.842306868649212,8985
Khulna,5799,2,2022,-34.96216902168325,-3689.0040795733084,-3826.33888722871,257.96052919429184,7.560444461463729,16836
Kushtia,5800,2,2022,0.3248498902369262,-692.2099086620167,-694.4204603393164,297.7507659068066,10.81131320896618,7714
Magura,5801,2,2022,0.28771062030945116,-73.27290834553284,-73.90325578465226,298.44174328109364,8.92420163622387,4809
Meherpur,5802,2,2022,0.39208905572162994,-42.514222784823694,-43.66113337022049,297.35129844297495,12.943054935125321,3120
Narail,5803,2,2022,0.2897370434932795,-111.35234765745956,-111.96850020470454,298.18585567337027,4.901030512858183,4549
Satkhira,5804,2,2022,-47.54528360019594,-4289.624238842,-4480.458557489489,245.03907150974536,5.829282384964419,15413
Habiganj,5821,2,2022,0.34616271987891,-888.8321247490851,-921.1797658201475,297.6739314038533,8.066829633657594,11905
Maulvibazar,5822,2,2022,0.3079582840793371,-749.4556558914198,-767.1750964043946,298.2176026479464,7.118321747744675,11701
Sunamganj,5823,2,2022,0.3665312766174657,-2933.2208553018404,-3010.6075040485375,296.1675918341484,6.773560073607245,16708
Sylhet,5824,2,2022,0.29344859998287653,-367.74144242304754,-396.9401203378193,297.95971022578203,7.293617782325497,15819
Bogra,5805,2,2022,-0.5522082905499098,-770.4471744975524,-771.6745635196322,297.21851562765914,11.624592202219237,13430
Joypurhat,5808,2,2022,0.21846489145176995,-124.84340134105507,-125.31243671193128,297.2680699711332,10.60885980441341,4572
Naogaon,5811,2,2022,0.23448088900738395,-289.91517199234596,-290.4064430815303,296.81125088134775,9.92834154005297,15831
Natore,5812,2,2022,0.34409806230063644,-266.9426352753316,-267.8263567090944,297.301065132496,11.51361879879145,8813
Nawabganj,5813,2,2022,0.2636932084744987,-469.72504126943824,-470.22292187878156,296.7653740929037,9.063427691197996,7588
Pabna,5815,2,2022,0.28904952092558744,-689.1955187410749,-689.8230415660579,298.1589870131396,9.129415261855911,10906
Rajshahi,5817,2,2022,0.27003463592565147,-601.9536067732823,-603.4957149331603,297.2230452321445,10.382602583250469,11068
Sirajganj,5819,2,2022,0.21280670134143637,-1381.0096984447998,-1381.3952734249501,297.5841384050571,9.05997141164761,11445
Dinajpur,5806,2,2022,0.22765403788423458,-142.03957110674796,-142.54624668602074,296.69743881927604,9.362046535429537,15870
Gaibandha,5807,2,2022,-0.825176235109911,-918.2598880591692,-918.6182471017123,296.7492845252924,9.531180088539376,10042
Kurigram,5809,2,2022,-1.8238381335835268,-1301.2704352871465,-1301.6557680598517,296.15711828551764,7.556880695206645,10354
Lalmonirhat,5810,2,2022,0.3439491671137304,-76.23123761705264,-77.26757927392616,295.9485221076426,7.834716989336107,5905
Nilphamari,5814,2,2022,0.27493349749645507,-171.44479155268863,-172.15484280584948,295.94974994435444,7.253593388147193,7639
Panchagarh,5816,2,2022,0.26354636960468586,-10.24636840192841,-12.44180560725306,296.89608840960244,7.689507851979457,6581
Rangpur,5818,2,2022,0.25937155795948535,-115.25865875618605,-115.8673034047965,296.5373108601701,9.265849649177937,10708
Thakurgaon,5820,2,2022,0.32797470234797993,-91.83159835779533,-92.74360764985812,296.3457187890601,8.606854224658795,8363
Barguna,5761,2,2022,-132.0749893410555,-1233.3296900667422,-1241.4521107019436,132.22803724890207,12.161940369447807,6587
Barisal,5762,3,2022,-11.22530365591022,-1696.6246221184324,-1752.9414222921466,302.23346037273205,3.4711748373547793,11525
Bhola,5763,3,2022,-263.3505283611413,-3376.692381167184,-3395.8406200543777,157.08516351277518,2.060092490888734,10539
Jhalokati,5764,3,2022,0.39334779156360683,-261.0870212718186,-283.59063260813053,303.2406697825364,2.4559091760570606,3490
Patuakhali,5765,3,2022,-38.04321983463894,-1015.1904852039463,-1017.4705201859113,262.62001253141653,10.399783323716722,11815
Pirojpur,5766,3,2022,0.37706925726051393,-607.4333021097545,-673.0414777236306,302.6002353895313,2.1693491771771223,5834
Bandarban,5767,3,2022,0.33862587190539356,2.321767778870514,0.5893735633265689,304.7592799493427,1.8970064518897356,20661
Brahamanbaria,5768,3,2022,0.4389336263997422,-1402.123459712107,-1413.8405736766815,301.95387598616827,2.967730853972591,8842
Chandpur,5769,3,2022,0.3587223148621605,-1765.4982177447112,-1873.1130468074114,301.5762915227983,2.0491109987601064,7753
Chittagong,5770,3,2022,-35.58639955936429,-511.65609390632517,-518.975075577051,270.10937487937287,-21.47442339498428,19719
Comilla,5771,3,2022,0.4215059230254856,-130.64987268074333,-139.23026263188967,302.235026615338,3.304755518769415,13842
Cox's Bazar,5772,3,2022,-1153.7922517192865,-1765.1843281220208,-1771.5307226737896,-944.6034820849281,-7.564906712661705,9666
Feni,5773,3,2022,-6.061069009054035,-96.42118269417269,-102.48900950830392,295.7024881711878,5.238627967658209,4102
Khagrachhari,5774,3,2022,0.3650510216923332,-13.768200766446634,-15.409568537048843,304.0750678016168,2.3999082763914745,12826
Lakshmipur,5775,3,2022,-109.9180444752153,-1740.290758984471,-1883.7770038384833,257.7507220892215,3.978324842985573,6600
Noakhali,5776,3,2022,-99.47695839107999,-578.5552644291895,-797.3477927706956,148.4951227129862,-242.45666271247467,11412
Rangamati,5777,3,2022,-7.6922664598773505,-620.6888071844352,-637.0164001622093,303.2614651791955,1.854948061130324,25644
Dhaka,5778,3,2022,0.3093792356407276,-1393.1500911269995,-1398.3886108533382,303.8489470921803,2.5109047474997688,6820
Faridpur,5779,3,2022,0.32815046319587843,-1210.8957176994215,-1211.4263883552026,304.49360772082673,4.218093069050191,9324
Gazipur,5780,3,2022,0.3512517689004526,-178.62085382303198,-207.41740469069657,303.32282705212606,4.174704557153383,8062
Gopalganj,5781,3,2022,0.45426689686012056,-54.30111918796683,-151.21637090661866,302.450396645811,2.532395808938058,6747
Jamalpur,5782,3,2022,0.3990422130351799,-547.0016163452746,-547.9050375037324,301.98074099930625,5.488352918300053,9532
Kishoreganj,5783,3,2022,0.4653491858207745,-3507.069149760123,-3512.250254967197,301.29861954261764,3.5487614039066466,11716
