Season,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,District,Year,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat
Kharif 1,638.57,29.175901639344264,42.43,15.23,53,2.4836065573770494,6.75,0.12,Pabna,2022,27.2,6.63,21.89,High Risk,1
Kharif 2,984.86,27.91,34.38,19.25,0,2.2982113821138213,8.54,0.08,Pabna,2022,15.13,8.46,35.29,Low Risk,0
Rabi,91.4,19.20508333333333,30.12,7.92,0,1.4246666666666667,5.1,0.04,Pabna,2022,22.2,5.06,4.76,Low Risk,0
Kharif 1,1568.31,27.17926229508197,37.17,14.66,17,1.619344262295082,6.43,0.04,Panchagar,2022,22.51,6.39,57.7,High Risk,0
Kharif 2,1342.09,27.18967479674797,33.52,17.55,0,1.518130081300813,4.56,0.03,Panchagar,2022,15.97,4.53,49.36,Low Risk,0
Rabi,64.71000000000001,18.49683333333333,28.88,8.75,0,1.1396666666666666,6.48,0.01,Panchagar,2022,20.13,6.47,3.5,Low Risk,0
Kharif 1,1663.21,28.106803278688528,33.74,19.66,0,3.684180327868853,7.13,0.09,Patuakhali,2022,14.08,7.04,59.17,Low Risk,0
Kharif 2,2272.77,28.43642276422764,31.57,21.83,0,3.5834959349593496,10.3,0.13,Patuakhali,2022,9.74,10.17,79.92,Low Risk,0
Rabi,270.62,21.40383333333333,29.2,13.89,0,2.49725,5.94,0.12,Patuakhali,2022,15.31,5.82,12.64,Low Risk,0
Kharif 1,656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,0.04,Pirojpur,2022,25.25,5.82,22.73,High Risk,1
Kharif 2,1451.65,27.76869918699187,33.57,18.56,0,2.063739837398374,7.47,0.04,Pirojpur,2022,15.01,7.43,52.27,Low Risk,0
Rabi,220.43,19.631500000000003,30.58,8.35,0,1.4529166666666666,4.33,0.04,Pirojpur,2022,22.23,4.29,11.23,Low Risk,0
Kharif 1,558.92,29.277131147540985,43.33,15.19,58,2.47672131147541,6.36,0.08,Rajbari,2022,28.14,6.28,19.09,High Risk,1
Kharif 2,996.2,27.804227642276423,34.21,18.74,0,2.1582926829268296,7.83,0.11,Rajbari,2022,15.47,7.72,35.83,Low Risk,0
Rabi,101.19,19.232916666666664,30.32,7.6,0,1.4094166666666663,4.93,0.06,Rajbari,2022,22.72,4.87,5.26,Low Risk,0
Kharif 1,471.39,29.696393442622952,42.83,14.55,72,2.339508196721312,6.74,0.09,Rajshahi,2022,28.28,6.65,15.87,High Risk,1
Kharif 2,772.89,28.147723577235773,36.56,17.79,8,2.2247154471544714,8.45,0.03,Rajshahi,2022,18.77,8.42,27.46,Moderate Risk,0
Rabi,75.78,18.654,30.4,7.51,0,1.4068333333333334,5.11,0.13,Rajshahi,2022,22.89,4.98,4.06,Low Risk,0
Kharif 1,1205.62,27.631311475409834,36.72,15.16,4,2.856229508196721,6.45,0.12,Rangamati,2022,21.56,6.33,43.63,Moderate Risk,0
Kharif 2,1450.75,28.04821138211382,34.55,19.76,0,2.3628455284552845,11.27,0.03,Rangamati,2022,14.79,11.24,51.72,Low Risk,0
Rabi,98.78,20.408583333333336,31.75,9.62,0,1.6609166666666666,4.45,0.08,Rangamati,2022,22.13,4.37,4.84,Low Risk,0
Kharif 1,1198.2,28.210163934426227,38.3,13.81,31,2.29344262295082,5.95,0.08,Rangpur,2022,24.49,5.87,42.47,High Risk,1
Kharif 2,910.51,27.91861788617886,34.91,18.29,0,2.0784552845528457,6.67,0.1,Rangpur,2022,16.62,6.57,32.61,Low Risk,0
Rabi,85.09,18.74625,29.18,7.74,0,1.4260833333333334,7.0,0.06,Rangpur,2022,21.44,6.94,4.54,Low Risk,0
Kharif 1,441.07,29.42827868852459,42.85,15.91,64,2.1515573770491803,5.36,0.14,Satkhira,2022,26.94,5.22,14.99,High Risk,1
Kharif 2,1252.47,27.811544715447155,33.81,18.59,0,1.6846341463414636,6.2,0.06,Satkhira,2022,15.22,6.14,45.03,Low Risk,0
Rabi,158.44,19.825916666666668,32.43,8.31,0,1.2484166666666667,3.91,0.11,Satkhira,2022,24.12,3.8,7.99,Low Risk,0
Kharif 1,897.09,28.29688524590164,38.75,16.37,34,2.7896721311475408,6.68,0.12,Shariatpur,2022,22.38,6.56,31.7,High Risk,1
Kharif 2,1311.38,27.853658536585368,32.95,19.15,0,2.389512195121952,7.82,0.03,Shariatpur,2022,13.8,7.79,47.08,Low Risk,0
Rabi,130.03,19.78575,29.93,9.59,0,1.5768333333333333,4.92,0.03,Shariatpur,2022,20.34,4.89,6.57,Low Risk,0
Kharif 1,1278.22,28.156967213114758,38.88,14.97,37,2.281475409836065,6.66,0.04,Sherpur,2022,23.91,6.62,45.39,High Risk,1
Kharif 2,1091.34,27.750406504065044,34.86,18.48,0,1.9544715447154477,6.82,0.07,Sherpur,2022,16.38,6.75,39.33,Low Risk,0
Rabi,82.59,19.20083333333333,29.93,8.25,0,1.225,4.57,0.07,Sherpur,2022,21.68,4.5,4.3,Low Risk,0
Kharif 1,1038.79,28.663278688524592,41.07,15.07,48,2.3401639344262297,6.82,0.09,Sirajganj,2022,26.0,6.73,36.24,High Risk,1
Kharif 2,1132.42,27.871463414634142,34.22,18.47,0,2.0767479674796747,7.64,0.06,Sirajganj,2022,15.75,7.58,40.63,Low Risk,0
Rabi,85.72,19.21658333333333,30.4,8.23,0,1.3789166666666666,4.37,0.01,Sirajganj,2022,22.17,4.36,4.46,Low Risk,0
