ADM2_NAME,ADM1_NAME,Month,Year,Salinity_Index_Raw
Pabna,Rajshahi,8,2022,905.3735605704685
Rajshahi,Rajshahi,8,2022,772.3110164364748
Sirajganj,Rajshahi,8,2022,1062.0999411944044
Dinajpur,Rangpur,8,2022,833.4424731253689
Gaibandha,Rangpur,8,2022,950.90338683159
Kurigram,Rangpur,8,2022,880.6327112864185
Lalmonirhat,Rangpur,8,2022,804.0205655883691
Nilphamari,Rangpur,8,2022,784.2047803269293
Panchagarh,Rangpur,8,2022,691.9884944846978
Rangpur,Rangpur,8,2022,748.9153417682564
Thakurgaon,Rangpur,8,2022,733.3746412012626
Barguna,Barisal,8,2022,781.3529833818735
Barisal,Barisal,9,2022,811.8286633512857
Bhola,Barisal,9,2022,889.0847306519272
Jhalokati,Barisal,9,2022,641.8681377238717
Patuakhali,Barisal,9,2022,676.1205576586784
Pirojpur,Barisal,9,2022,595.0662705335802
Bandarban,Chittagong,9,2022,557.6014896805469
Brahamanbaria,Chittagong,9,2022,858.8015480964692
Chandpur,Chittagong,9,2022,869.4417760798434
Chittagong,Chittagong,9,2022,618.3132315509462
Comilla,Chittagong,9,2022,768.6651284760248
Cox's Bazar,Chittagong,9,2022,689.0682088997376
Feni,Chittagong,9,2022,636.6815123382648
Khagrachhari,Chittagong,9,2022,570.3977018812952
Lakshmipur,Chittagong,9,2022,879.1238782027045
Noakhali,Chittagong,9,2022,696.5291806263715
Rangamati,Chittagong,9,2022,667.8776155178487
Dhaka,Dhaka,9,2022,947.1366182977665
Faridpur,Dhaka,9,2022,741.211759756949
Gazipur,Dhaka,9,2022,788.1630167913781
Gopalganj,Dhaka,9,2022,632.2640795341774
Jamalpur,Dhaka,9,2022,682.6220527790856
Kishoreganj,Dhaka,9,2022,855.8203270997446
Madaripur,Dhaka,9,2022,728.9588480717399
Manikganj,Dhaka,9,2022,794.1268577591684
Munshiganj,Dhaka,9,2022,843.7900627043625
Mymensingh,Dhaka,9,2022,677.2843701573112
Narayanganj,Dhaka,9,2022,911.0090461974683
Narsingdi,Dhaka,9,2022,769.1577558188997
Netrakona,Dhaka,9,2022,657.1732071095322
Rajbari,Dhaka,9,2022,820.7263473672881
Shariatpur,Dhaka,9,2022,823.8550176650855
Sherpur,Dhaka,9,2022,543.5974963495269
Tangail,Dhaka,9,2022,784.9665825848539
Bagerhat,Khulna,9,2022,473.15977708415005
