ADM2_NAME,ADM2_CODE,Month,Year,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm
Jamalpur,5782,6,2022,0.23510099884106023,0.43774768046367174,1.8614884840339536,298.772843361518,25.27150189873449
Kishoreganj,5783,6,2022,0.10553367623447268,0.382606673821527,1.444910341265195,297.68124741210175,25.262648673350455
Madaripur,5784,6,2022,0.3784358077570695,1.0664083246750709,3.7382975898314688,298.8499760771398,20.02709059893623
Manikganj,5785,6,2022,0.29769024070237554,0.6350568958488191,2.6164047886340205,299.2583518659549,23.332121960919554
Munshiganj,5786,6,2022,0.28513565865626983,0.8729522532044683,2.9186737231393454,301.1016866396752,22.08461968063049
Mymensingh,5787,6,2022,0.25323063705011595,0.3875246031839183,1.5767448626411096,302.1513497866812,25.323898381024367
Narayanganj,5788,6,2022,0.28329745479931473,0.6054336185962742,2.3984030050982907,302.08076710638363,24.183847283727367
Narsingdi,5789,6,2022,0.2763188744159424,0.663527874409667,2.2865840573320724,301.35574628191154,25.106433077605075
Netrakona,5790,6,2022,0.09122797121094363,0.1551383749428276,0.6449951722341042,299.796013776779,25.324172010769548
Rajbari,5791,6,2022,0.43300371958304,1.0448556310908101,3.7265122222096916,298.60543369091783,21.497395505035456
Shariatpur,5792,6,2022,0.35223496778461344,1.084399931863236,3.640716763414973,300.3301334927472,21.00095340811825
Sherpur,5793,6,2022,0.22478333690421073,0.33097185273886354,1.3950487151050859,,25.29913261346164
Tangail,5794,6,2022,0.2810825480389679,0.4867878395419378,1.987998166388329,300.7480549227939,25.26267238326779
Bagerhat,5795,6,2022,0.29744974302391425,1.4644140564787114,3.413281383913437,300.4777648465144,18.99231652297304
Chuadanga,5796,6,2022,0.3967844010766634,0.965037280934173,3.710037105625721,303.89409705391097,16.34652126378897
Jessore,5797,6,2022,0.316869459592305,0.6294396555603345,2.6248831018289387,302.9544335041891,14.48398992283983
Jhenaidah,5798,6,2022,0.37280473033145106,0.7987444561041093,3.1340075294483127,303.03224720037946,16.891522791922718
Khulna,5799,6,2022,0.23288031716242164,1.1798726017183478,2.8318572315621706,301.0206421664882,17.495673784748032
Kushtia,5800,6,2022,0.40809049836935674,1.154727251848025,4.003791195570981,301.3839787668957,20.976063747964428
Magura,5801,6,2022,0.43854801831306534,0.836663071477486,3.3092117727621657,294.8254188153831,18.54475699340558
Meherpur,5802,6,2022,0.4207486070930594,1.0942971609290737,4.012508114799385,303.797385499127,16.74618768278809
Narail,5803,6,2022,0.3681004913361615,0.7370022671901642,2.991954594271858,302.1812320505322,15.659256737789258
Satkhira,5804,6,2022,0.2190020697943861,1.3581231996159195,2.9577724460006047,301.27333756421626,16.16934620141281
Habiganj,5821,6,2022,0.19436663711302957,0.6896429959463048,2.06134553738344,299.9666052432346,25.14254138148682
Maulvibazar,5822,6,2022,0.2571329522626339,0.8688188539942849,2.5052130020181744,301.23555032678155,25.260990208441672
Sunamganj,5823,6,2022,0.018891336944319985,0.34002981405216925,0.5885680537102679,298.49461193365084,25.3412679249794
Sylhet,5824,6,2022,0.08943439330615384,0.24792998332155974,0.7729544361392948,300.73695495667715,25.353555432749065
Bogra,5805,6,2022,0.25533533101833256,0.5431723137363933,2.2341842130422216,299.53977379508365,25.215542823459714
Joypurhat,5808,6,2022,0.2088366522757689,0.4381034675887375,1.888181441739062,294.62646258666587,25.21919776150442
Naogaon,5811,6,2022,0.24944844637768945,0.49457022353092067,2.1549893842747285,302.4855393881726,24.78137408653839
Natore,5812,6,2022,0.3560276860076626,0.8349276278986834,3.0797073263210892,299.9860384576425,24.433295091152345
Nawabganj,5813,6,2022,0.2873210926483901,0.6259088094299945,2.661431166723588,303.32840616441854,19.941347295776293
Pabna,5815,6,2022,0.3938171300833497,1.0014599314238681,3.5828265222324607,300.7230945725145,23.9363878004589
Rajshahi,5817,6,2022,0.2908263367495462,0.6646154147349964,2.73573273634257,302.3850799430161,21.00350348593511
Sirajganj,5819,6,2022,0.22461780752656857,0.47022837384528227,1.9912404809826068,299.4211588573169,25.163596195678135
Dinajpur,5806,6,2022,0.21463070173686538,0.3209050011014176,1.4266599356503233,299.68,25.2877210016456
Gaibandha,5807,6,2022,0.21697017926885803,0.3946198047788386,1.6965860375211597,298.45166801060515,25.015319210270977
Kurigram,5809,6,2022,0.16273898245024918,0.2831973210546814,1.2333195981218623,299.535819426773,24.66891476641762
Lalmonirhat,5810,6,2022,0.18051636578588062,0.28515796087327816,1.2710410548795386,303.0542197971644,25.193877862521482
Nilphamari,5814,6,2022,0.1915963236232106,0.33699754072628896,1.4443105397910212,300.52527224848075,25.288045705982135
Panchagarh,5816,6,2022,0.19198206031003306,0.45328693995065666,1.8436885701991024,,25.167382441966495
Rangpur,5818,6,2022,0.22581321329143775,0.30428996102059946,1.3723645428181535,299.6906993118899,25.240658206600635
Thakurgaon,5820,6,2022,0.22183434722514392,0.38779289427478725,1.596350897711525,,25.235503771419015
Barguna,5761,6,2022,0.30225593720965854,0.7368730253407061,2.8998699164949557,300.57119481363327,22.862001428115335
Barisal,5762,7,2022,0.322889380865914,1.444644972775407,4.466824064850775,301.9299665617561,24.18348049151923
Bhola,5763,7,2022,0.27404961207955975,1.2903949030199438,4.199504450286559,301.05862700949274,24.272272055192467
Jhalokati,5764,7,2022,0.3841309504535451,1.396952922656601,4.620108267544794,301.62231587094186,24.558986817891657
Patuakhali,5765,7,2022,0.2901897965220491,0.8522495549425456,3.404073030618273,302.3826354966353,24.985617580369727
Pirojpur,5766,7,2022,0.38310472528395617,1.47847106540853,4.5136649310320305,301.5669847475612,24.749556294265233
Bandarban,5767,7,2022,0.667391895946217,3.6959136517601663,6.907379143952423,301.9909064908144,24.43446503949883
Brahamanbaria,5768,7,2022,0.24801601411940713,0.7732227608260969,2.8993760865664555,301.7541141552943,23.95213308710276
Chandpur,5769,7,2022,0.36434513741789526,1.921568532562616,5.180586188524055,302.46437380946605,22.902757352353806
Chittagong,5770,7,2022,0.46427537557874093,1.7532204054075855,4.852196330540685,302.9278811704701,24.391840872328466
Comilla,5771,7,2022,0.413143342586671,1.2661438361849189,4.387316158598049,302.87077847786,23.180371442883676
Cox's Bazar,5772,7,2022,0.42189014316726486,1.8383269691940767,4.770808886328695,302.53137937444114,24.790843578040747
Feni,5773,7,2022,0.3669842727806578,1.1473562477257258,4.067080855467915,303.6521172278362,24.47665822697508
Khagrachhari,5774,7,2022,0.6003451970919214,2.739160848826077,5.849536086512739,302.2057272064902,25.003498241248387
Lakshmipur,5775,7,2022,0.3184189633607488,1.8077179447697627,4.513824145905881,301.9367058368622,23.430426766419913
Noakhali,5776,7,2022,0.3496050668991883,1.764244888139818,4.475162067512945,301.6004635021852,24.108329060104168
Rangamati,5777,7,2022,0.610701554728211,3.5903673015386834,6.699793714451342,301.5045888764436,25.062055343900305
Dhaka,5778,7,2022,0.3379630148219054,1.0032412478353334,3.5571330610461325,303.68024645176956,24.183205757813827
Faridpur,5779,7,2022,0.3337001851066909,1.1349604475036652,3.7422740030862616,302.8448210223803,23.97379524564481
