Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Year,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat
32898,0.701501611,Shariatpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,23078,40,12.0,60,85,1311.38,27.853658536585368,32.95,19.15,0,2.389512195121952,7.82,0.03,2022,13.8,7.79,47.08,Low Risk,0
202388,0.9527689389,Sherpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,192829,40,12.0,60,85,1091.34,27.750406504065044,34.86,18.48,0,1.954471544715448,6.82,0.07,2022,16.38,6.75,39.33,Low Risk,0
200166,1.104498266,Sirajganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,221083,40,12.0,60,85,1132.42,27.871463414634142,34.22,18.47,0,2.0767479674796747,7.64,0.06,2022,15.75,7.58,40.63,Low Risk,0
198587,1.044851879,Sunamganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,207494,40,12.0,60,85,1911.12,27.57235772357724,34.39,18.74,0,1.5008943089430895,5.89,0.1,2022,15.65,5.79,69.31,Low Risk,0
336140,1.05969834,Sylhet,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,356207,40,12.0,60,85,1626.4,27.889105691056912,35.28,17.48,2,1.23,5.03,0.02,2022,17.8,5.01,58.31,Moderate Risk,0
249183,0.8334115891,Tangail,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,207672,40,12.0,60,85,1132.42,27.871463414634142,34.22,18.47,0,2.0767479674796747,7.64,0.06,2022,15.75,7.58,40.63,Low Risk,0
322836,1.083695746,Thakurgaon,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,349856,40,12.0,60,85,1137.55,27.810325203252034,33.68,18.24,0,1.992032520325204,7.4,0.04,2022,15.44,7.36,40.9,Low Risk,0
167,6.700598802,Bagerhat,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,1119,30,20.0,60,80,656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,0.04,2022,25.25,5.82,22.73,High Risk,1
128,1.3046875,Bandarban,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,167,30,20.0,60,80,1122.24,26.3438524590164,37.14,12.88,24,0.1083606557377049,0.93,0.0,2022,24.26,0.93,42.6,High Risk,0
1597,0.9198497182,Barguna,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,1469,30,20.0,60,80,875.14,28.4955737704918,35.98,18.28,5,2.7315573770491803,5.38,0.06,2022,17.7,5.32,30.71,Moderate Risk,0
1351,4.071058475,Barishal,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,5500,30,20.0,60,80,1000.13,28.220245901639345,37.02,17.22,16,3.0311475409836066,6.44,0.07,2022,19.8,6.37,35.44,High Risk,0
148,5.155405405,Bhola,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,763,30,20.0,60,80,1663.21,28.106803278688528,33.74,19.66,0,3.684180327868853,7.13,0.09,2022,14.08,7.04,59.17,Low Risk,0
233,3.39055794,Bogura,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,790,30,20.0,60,80,895.25,28.693032786885247,40.21,14.25,47,2.442459016393443,6.82,0.06,2022,25.96,6.76,31.2,High Risk,1
15,0.8666666667,Brahmanbaria,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,13,30,20.0,60,80,1184.34,28.060081967213115,39.2,14.82,43,2.309754098360656,6.61,0.12,2022,24.38,6.49,42.21,High Risk,1
