B,BLOCK,Cu,Cycle_Year,DISTRICT,DISTRICT_L,EC,Fe,Feature_ID,K,Mn,N,OC,P,S,STATE,STATE_LGD,Scan_Lat,Scan_Lon,TEHSIL,VILLAGE,Zn,pH
0.518,Badami,0.904,2015-17,Bagalkot,524,0.302,1.255,29_524_shc_2015-17.295,298.543,2.998,337.085,0.541,31.219,18.15,Karnataka,29,16.04200000000004,75.70599999999831,Badami,Teggi,0.323,7.879
0.411,Hungund,0.54,2015-17,Bagalkot,524,0.389,1.811,29_524_shc_2015-17.425,798.054,4.292,684.051,0.464,22.087,14.497,Karnataka,29,16.04400000000004,75.97199999999769,Hungund,Chickyaranakeri,0.374,11.05
1.057,Badami,0.342,2015-17,Bagalkot,524,0.916,0.672,29_524_shc_2015-17.350,279.261,1.055,280.268,2.812,16.657,11.773,Karnataka,29,16.04600000000004,75.82599999999803,Badami,Padanakatti,0.096,8.476
2.027,Hungund,1.026,2015-17,Bagalkot,524,0.356,3.27,29_524_shc_2015-17.509,676.494,3.301,524.268,0.688,38.745,20.117,Karnataka,29,16.04600000000004,76.1819999999972,Hungund,Tariwal,0.81,8.607
0.356,Hungund,0.619,2015-17,Bagalkot,524,0.334,0.616,29_524_shc_2015-17.430,330.495,2.14,641.826,0.55,23.609,10.635,Karnataka,29,16.048000000000037,75.98799999999765,Hungund,Hireyaranakeri,0.43,8.432
2.974,Hungund,0.973,2015-17,Bagalkot,524,0.402,1.82,29_524_shc_2015-17.491,201.969,2.599,432.627,0.343,135.861,25.246,Karnataka,29,16.048000000000037,76.14799999999728,Hungund,Chatnihal,1.595,8.061
0.281,Hungund,0.462,2015-17,Bagalkot,524,0.312,0.514,29_524_shc_2015-17.538,143.955,2.496,453.057,7.647,,11.736,Karnataka,29,16.050000000000036,76.29199999999695,Hungund,Chamalapur,0.244,8.134
0.236,Hungund,0.33,2015-17,Bagalkot,524,0.217,0.276,29_524_shc_2015-17.495,347.201,3.039,440.614,5.787,27.201,25.223,Karnataka,29,16.054000000000034,76.15399999999727,Hungund,Malagihal,0.287,9.024
0.341,Badami,0.517,2015-17,Bagalkot,524,0.122,1.603,29_524_shc_2015-17.168,358.878,3.812,489.889,0.389,27.88,15.178,Karnataka,29,16.056000000000033,75.47399999999885,Badami,Fakeerabudihal,0.355,6.895
0.443,Hungund,0.422,2015-17,Bagalkot,524,0.585,1.059,29_524_shc_2015-17.374,369.529,2.651,402.523,1.311,102.298,23.732,Karnataka,29,16.058000000000032,75.86999999999793,Hungund,Mullur,0.218,7.924
